province,dev_role,dev_role_parent_group,visitors,province_visitors_share,location_quotient
alberta,All Developers,-,49022,1,1
alberta,Mobile Developers,All Developers,2164,0.044143445799844964,0.8668100357722438
alberta,Other Kinds of Developers,All Developers,17052,0.3478438252213292,0.9679759048625921
alberta,"Web Developers (Front-End, Back-End, or Full-Stack)",All Developers,31550,0.6435885928766676,1.000462387036679
alberta,Android Developers,Mobile Developers,1212,0.024723593488637754,0.823813636299356
alberta,iOS Developers,Mobile Developers,960,0.019583044347435845,0.9507667013671113
alberta,Back-End Web Developers,Other Kinds of Developers,6531,0.13322589857614947,0.9714262352365405
alberta,Data Scientists,Other Kinds of Developers,1758,0.03586144996124189,0.9514695197424802
alberta,Database Administrators,Other Kinds of Developers,3251,0.06631716372241035,1.1216652110489427
alberta,Desktop Developers,Other Kinds of Developers,1705,0.0347803027212272,0.9535621810484703
alberta,Embedded Developers,Other Kinds of Developers,2958,0.060340255395536696,0.8283577622316824
alberta,Front-End Web Developers,Other Kinds of Developers,4620,0.09424340092203501,0.9632001199481565
alberta,Full-Stack Web Developers,Other Kinds of Developers,28238,0.576027089878014,1.0013765164929382
alberta,Graphics Programmers,Other Kinds of Developers,794,0.01619680959569173,0.9966789794992145
alberta,Machine Learning Specialists,Other Kinds of Developers,1741,0.03551466688425605,0.9122300985169348
alberta,Systems Administrators,Other Kinds of Developers,5025,0.1025049977561095,1.012516774868604
british_columbia,All Developers,-,88840,1,1
british_columbia,Mobile Developers,All Developers,4768,0.053669518235029266,1.053866008379169
british_columbia,Other Kinds of Developers,All Developers,32301,0.3635862224223323,1.0117836716546327
british_columbia,"Web Developers (Front-End, Back-End, or Full-Stack)",All Developers,57768,0.65024763619991,1.0108139104357712
british_columbia,Android Developers,Mobile Developers,2396,0.026969833408374607,0.8986604856107079
british_columbia,iOS Developers,Mobile Developers,2366,0.026632147681224672,1.2930042312095977
british_columbia,Back-End Web Developers,Other Kinds of Developers,12374,0.13928410625844215,1.015600092902262
british_columbia,Data Scientists,Other Kinds of Developers,3625,0.04080369203061684,1.0825961945780345
british_columbia,Database Administrators,Other Kinds of Developers,4827,0.054333633498424135,0.9189799904616721
british_columbia,Desktop Developers,Other Kinds of Developers,3703,0.04168167492120666,1.1427752416703731
british_columbia,Embedded Developers,Other Kinds of Developers,7784,0.08761819000450248,1.2028322937507594
british_columbia,Front-End Web Developers,Other Kinds of Developers,10318,0.11614137775776677,1.1870050092925863
british_columbia,Full-Stack Web Developers,Other Kinds of Developers,51218,0.5765195857721747,1.002232680780257
british_columbia,Graphics Programmers,Other Kinds of Developers,1358,0.015285907248986944,0.9406261367480928
british_columbia,Machine Learning Specialists,Other Kinds of Developers,3627,0.040826204412426834,1.048662306043781
british_columbia,Systems Administrators,Other Kinds of Developers,8260,0.0929761368752814,0.9183932521289274
manitoba,All Developers,-,11352,1,1
manitoba,Mobile Developers,All Developers,468,0.0412262156448203,0.8095266876054888
manitoba,Other Kinds of Developers,All Developers,3618,0.3187103594080338,0.8869036221665739
manitoba,"Web Developers (Front-End, Back-End, or Full-Stack)",All Developers,7683,0.6767970401691332,1.0520851205899577
manitoba,Android Developers,Mobile Developers,295,0.025986610288935872,0.8658985566584838
manitoba,iOS Developers,Mobile Developers,172,0.015151515151515152,0.7356137189775652
manitoba,Back-End Web Developers,Other Kinds of Developers,1627,0.14332276250880902,1.0450482458412789
manitoba,Data Scientists,Other Kinds of Developers,378,0.033298097251585626,0.8834591081661723
manitoba,Database Administrators,Other Kinds of Developers,746,0.0657152924594785,1.1114853719353979
manitoba,Desktop Developers,Other Kinds of Developers,326,0.02871740662438337,0.7873373936475206
manitoba,Embedded Developers,Other Kinds of Developers,598,0.052677942212825936,0.7231686714672755
manitoba,Front-End Web Developers,Other Kinds of Developers,1292,0.11381254404510219,1.1632035241017715
manitoba,Full-Stack Web Developers,Other Kinds of Developers,6728,0.5926708949964764,1.0303104258239086
manitoba,Graphics Programmers,Other Kinds of Developers,216,0.019027484143763214,1.170865988564057
manitoba,Machine Learning Specialists,Other Kinds of Developers,369,0.03250528541226216,0.8349310951046567
manitoba,Systems Administrators,Other Kinds of Developers,1061,0.09346370683579985,0.9232093369516553
new_brunswick,All Developers,-,7301,1,1
new_brunswick,Mobile Developers,All Developers,255,0.03492672236679907,0.6858285055825583
new_brunswick,Other Kinds of Developers,All Developers,2567,0.3515956718257773,0.9784165016146992
new_brunswick,"Web Developers (Front-End, Back-End, or Full-Stack)",All Developers,4773,0.6537460621832626,1.0162522349320644
new_brunswick,Android Developers,Mobile Developers,136,0.018627585262292835,0.6206888475762301
new_brunswick,iOS Developers,Mobile Developers,120,0.016436104643199563,0.7979811880978382
new_brunswick,Back-End Web Developers,Other Kinds of Developers,1164,0.15943021503903576,1.1624968961256363
new_brunswick,Data Scientists,Other Kinds of Developers,271,0.03711820298589234,0.9848134642313792
new_brunswick,Database Administrators,Other Kinds of Developers,445,0.06095055471853171,1.0308962715606798
new_brunswick,Desktop Developers,Other Kinds of Developers,199,0.027256540199972607,0.7472852128184156
new_brunswick,Embedded Developers,Other Kinds of Developers,507,0.06944254211751814,0.9533149704964892
new_brunswick,Front-End Web Developers,Other Kinds of Developers,662,0.09067251061498424,0.926704387213316
new_brunswick,Full-Stack Web Developers,Other Kinds of Developers,4292,0.587864676071771,1.0219552028684342
new_brunswick,Graphics Programmers,Other Kinds of Developers,112,0.015340364333652923,0.9439771813628192
new_brunswick,Machine Learning Specialists,Other Kinds of Developers,272,0.03725517052458567,0.9569366929068382
new_brunswick,Systems Administrators,Other Kinds of Developers,742,0.10162991371045062,1.0038729302264369
newfoundland_and_labrador,All Developers,-,3560,1,1
newfoundland_and_labrador,Mobile Developers,All Developers,139,0.03904494382022472,0.766694772832009
newfoundland_and_labrador,Other Kinds of Developers,All Developers,1285,0.3609550561797753,1.004461691674501
newfoundland_and_labrador,"Web Developers (Front-End, Back-End, or Full-Stack)",All Developers,2383,0.6693820224719101,1.040558430422681
newfoundland_and_labrador,Android Developers,Mobile Developers,73,0.02050561797752809,0.6832666828305646
newfoundland_and_labrador,iOS Developers,Mobile Developers,67,0.018820224719101122,0.9137314228423575
newfoundland_and_labrador,Back-End Web Developers,Other Kinds of Developers,572,0.16067415730337078,1.171567190742594
newfoundland_and_labrador,Data Scientists,Other Kinds of Developers,193,0.054213483146067415,1.438382352869301
newfoundland_and_labrador,Database Administrators,Other Kinds of Developers,224,0.06292134831460675,1.0642295821366325
newfoundland_and_labrador,Desktop Developers,Other Kinds of Developers,108,0.030337078651685393,0.8317435048684761
newfoundland_and_labrador,Embedded Developers,Other Kinds of Developers,275,0.07724719101123595,1.0604580617914303
newfoundland_and_labrador,Front-End Web Developers,Other Kinds of Developers,329,0.09241573033707866,0.9445206950819846
